"Story","Title","Result","Date","Stability","Duration (s)"
"Explore&Monitoring Home","GET - Get Weather with valid endpoint and data","SUCCESS","2023-06-24T12:13:47.07+07:00[Asia/Bangkok]","0.0","14.71"
"Explore&Monitoring Home","GET - Get weather article with valid label_id","SUCCESS","2023-06-24T12:14:01.814+07:00[Asia/Bangkok]","0.0","0.41"
"Explore&Monitoring Home","GET - Get weather article with invalid label id","SUCCESS","2023-06-24T12:14:02.237+07:00[Asia/Bangkok]","0.0","0.32"
"Explore&Monitoring Home","GET - Get available plant list with a valid endpoint","SUCCESS","2023-06-24T12:14:02.588+07:00[Asia/Bangkok]","0.0","0.2"
"Explore&Monitoring Home","GET - Search available plants with valid name","SUCCESS","2023-06-24T12:14:02.807+07:00[Asia/Bangkok]","0.0","0.3"
"Explore&Monitoring Home","GET - Get plant detail with valid plant id","SUCCESS","2023-06-24T12:14:03.109+07:00[Asia/Bangkok]","0.0","0.31"
"Explore&Monitoring Home","GET - Get plant detail with valid endpoint and invalid id","SUCCESS","2023-06-24T12:14:03.429+07:00[Asia/Bangkok]","0.0","0.68"
"Explore&Monitoring Home","GET - Get planting locationl with valid endpoint and plant_id","SUCCESS","2023-06-24T12:14:04.112+07:00[Asia/Bangkok]","0.0","0.78"
"Explore&Monitoring Home","GET - Get planting article with valid endpoint","SUCCESS","2023-06-24T12:14:04.889+07:00[Asia/Bangkok]","0.0","0.3"
"Explore&Monitoring Home","GET - Get planting article with valid endpoint and invalid id","SUCCESS","2023-06-24T12:14:05.2+07:00[Asia/Bangkok]","0.0","0.19"
